FIPS,State,County,FIR,FIP,P_Below,P_Between,Percent Above Threshold,Meal,Budget,Year,Total,White,Black,Native,Asian,Pacific,Other,Biracial,Region,Budget Per FIP
48001,TX,Anderson,0.21,12210,0.482,0.048,0.47,2.37,4981040,2010,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,407.94758394758395
48001,TX,Anderson,0.2,11610,0.568,0.101,0.331,2.46,4656160,2011,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,401.0473729543497
48001,TX,Anderson,0.199,11600,0.57,0.074,0.356,2.582677356239025,5247000,2012,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,452.32758620689657
48001,TX,Anderson,0.216,12560,0.596,0.061,0.343,2.64,5873000,2013,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,467.59554140127386
48001,TX,Anderson,0.201,11690,0.584,0.045,0.371,2.73,5625000,2014,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,481.18049615055605
48001,TX,Anderson,0.202,11710,0.598,0.079,0.323,2.7,5667000,2015,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,483.94534585824084
48001,TX,Anderson,0.193,11160,0.577,0.041,0.382,2.82,5386000,2016,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,482.61648745519716
48001,TX,Anderson,0.182,10520,0.572,0.055,0.374,2.75,4945000,2017,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,470.05703422053233
48001,TX,Anderson,0.152,8800,0.608,0.054,0.338,2.85,4240000,2018,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,481.8181818181818
48001,TX,Anderson,0.145,8400,0.574,0.04,0.386,2.84,4075000,2019,57922.0,0.6029142640102206,0.19987224198059458,0.0061634612064500535,0.006767722109043196,0.00022443976382031009,0.12199164393494699,0.06206622699492421,Texarkana,485.1190476190476
48003,TX,Andrews,0.147,2060,0.619,0.101,0.28,2.67,946750,2010,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,459.5873786407767
48003,TX,Andrews,0.126,1820,0.669,0.071,0.261,2.44,723970,2011,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,397.7857142857143
48003,TX,Andrews,0.117,1760,0.663,0.058,0.279,2.503899530685732,772000,2012,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,438.6363636363636
48003,TX,Andrews,0.104,1620,0.726,0.073,0.201,2.59,742000,2013,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,458.0246913580247
48003,TX,Andrews,0.091,1480,0.655,0.05,0.295,2.67,699000,2014,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,472.2972972972973
48003,TX,Andrews,0.082,1370,0.661,0.064,0.275,2.78,682000,2015,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,497.81021897810217
48003,TX,Andrews,0.085,1470,0.611,0.083,0.306,2.88,723000,2016,18610.0,0.5861902203116603,0.012735088662009673,0.011821601289629231,0.006018269747447609,0.0,0.17614185921547554,0.20709296077377753,West Central,491.83673469387753
